country,year,electricity_aid,id,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Albania,2019,9.625792,ALB,100.0,100.0,100.0,-1161.0563591812602,2.08771199649604,14.617784909370402,1.41109078954246,79.282,-0.426007367032238,2.854191,-2.74606661163753,11.466,1.07141354924368
Angola,2019,1.453325,AGO,45.6,,72.2,1749.05291230147,-0.702272957616017,7.53351185400503,17.080954143438,62.448,3.39527779197097,32.353588,1.45403334785745,16.497,4.40219114365749
Antigua and Barbuda,2019,5.728995,ATG,100.0,100.0,100.0,-141.18510823711298,3.10044514982847,26.316833216636002,1.43135598182984,78.691,0.534443400511753,0.092117,0.65786863536774,,0.15516594783013
Argentina,2019,49.176609,ARG,100.0,100.0,100.0,-5126.45968619073,-2.00086100285785,23.535012750940002,,77.284,0.993397493293046,44.938712,-0.506115918707072,9.843,1.12501972603644
Armenia,2019,87.484321,ARM,100.0,100.0,100.0,-233.28227529681502,7.59999999853918,15.7291496950576,1.44344660770698,75.439,-0.564065542556681,2.820602,-0.754200198113337,12.2,-0.453277999510481
Azerbaijan,2019,0.303426,AZE,100.0,100.0,100.0,927.801,2.50000006743734,16.6753179361558,2.61057182799215,73.102,0.846646726414021,10.024283,0.0515154868758554,5.0,1.47506479033467
Bangladesh,2019,1246.033454,BGD,92.2,88.9,97.8,-1884.98362506933,7.88191515117722,6.02508734934947,5.59199639930629,72.806,1.1131724900167,165.516222,-0.114188087127414,4.693,3.20139457166867
Belize,2019,0.012004,BLZ,92.7,87.8,98.5,-91.7916847309233,4.23623453555723,10.4363335268005,0.187069385181424,73.931,1.82301611890652,0.389095,1.56126452714175,9.053,2.13283729183047
Benin,2019,83.809204,BEN,40.0,16.9,65.2,-191.058357410859,6.86568662848335,3.26076853616447,0.732849371240975,60.454,2.88707408493347,12.290444,1.83963166520767,1.402,4.04076753423389
Bhutan,2019,39.993238,BTN,100.0,100.0,100.0,-13.0113772857268,5.75514851246506,12.8647780099884,2.7264303738882,71.391,0.701252583573764,0.767459,-0.519287432098595,2.72,2.43936953003751
Bolivia,2019,27.213739,BOL,95.1,84.9,99.5,264.951155795393,2.21670563961031,9.09192768943853,1.83954504969026,67.841,1.45750439141779,11.777315,0.312798303641208,3.682,1.957510150086
Bosnia and Herzegovina,2019,63.319806,BIH,100.0,100.0,100.0,-425.945182441337,2.88734334414875,16.3540001369123,,77.241,-1.16608133465016,3.360711,-1.90495937820982,15.692,-0.379470010298639
Botswana,2019,0.174826,BWA,70.1,27.9,88.0,-113.402014692137,3.0322025744566,14.8898073026521,2.77286442863321,65.464,1.95085634796209,2.499702,-0.454030747546001,20.094,2.99088168271581
Brazil,2019,8.600299,BRA,99.8,98.5,100.0,-46354.80725147,1.22077782360842,15.7414785048749,3.73297621216894,75.338,0.766107802084815,211.782878,-1.15073982289135,11.936,1.06023755345792
Burkina Faso,2019,48.793078,BFA,17.6,,64.6,-146.535904034235,5.8892049704591,2.23326155474138,-3.2333893398333,60.039,2.70387556725288,20.951639,1.81948545977237,4.701,4.80040438074702
Burundi,2019,22.615485,BDI,9.8,2.0,60.8,-29.5416767226275,1.81256532401552,0.804165344064637,-0.686772170797359,62.351,3.26424857025887,11.874838,2.87945570377826,1.053,5.79490607932596
Cabo Verde,2019,5.531621,CPV,91.4,87.3,93.5,-106.930455641583,6.94782632492097,7.70292356295124,1.10666674296063,76.004,1.01513458042928,0.57703,-0.345441164380625,12.118,1.71717136911241
Cambodia,2019,47.730149,KHM,84.0,80.0,96.9,-3561.1954515502603,7.05410693152042,4.6209633915234,1.94257500833107,70.692,1.13244216195679,16.207746,0.586656509518905,0.12,2.89969209242329
Cameroon,2019,68.797571,CMR,63.2,23.6,93.1,-898.870738367898,3.47505998194981,4.19567017521265,2.45280214062732,61.584,2.7748797807221,25.782341,1.40394894259125,3.646,3.82304687846584
Central African Republic,2019,7.548917,CAF,14.3,1.5,32.1,,3.09999999999999,0.934815543219503,2.68537355266787,55.025,2.22336107125156,5.209324,1.52854009565711,5.978,3.20011244517151
